	p_pred	n_ume	n_me
186914	8.205451536014152e-07	0.0	8.0
44339	1.6406108898081584e-06	0.0	5.0
284869	1.7983543330046814e-06	0.0	19.0
35678	1.901976361295965e-06	0.0	10.0
3959	2.1789048787468346e-06	0.0	13.0
44337	4.2187639337498695e-06	0.0	5.0
112108	4.297661234886618e-06	0.0	15.0
281877	4.30357158620609e-06	0.0	15.0
243429	5.163463811186375e-06	0.0	12.0
44336	5.891072760277893e-06	0.0	14.0
502370	6.392781415343052e-06	0.0	10.0
186918	7.213190656329971e-06	0.0	9.0
480160	7.264947271323763e-06	0.0	16.0
71337	7.429721335938666e-06	0.0	14.0
369722	7.78499452280812e-06	0.0	17.0
500346	7.874304174038116e-06	0.0	9.0
71335	7.94189236330567e-06	0.0	15.0
486325	8.170964974851813e-06	0.0	16.0
378602	8.536693712812848e-06	0.0	12.0
386853	9.415562089998275e-06	0.0	16.0
374782	9.598464203008916e-06	0.0	10.0
370826	1.0242021744488738e-05	0.0	7.0
82951	1.0691735951695591e-05	0.0	10.0
243428	1.0725529136834666e-05	0.0	11.0
41796	1.0928676601906773e-05	0.0	17.0
145157	1.1279500540695153e-05	0.0	7.0
194841	1.1629346772679128e-05	0.0	7.0
66405	1.1969002116529737e-05	0.0	4.0
338056	1.2470224646676797e-05	0.0	7.0
463970	1.2545982826850377e-05	0.0	20.0
44338	1.2918024367536418e-05	0.0	15.0
382801	1.2977788173884619e-05	0.0	10.0
186917	1.6363437680411153e-05	0.0	14.0
71333	1.6951618817984127e-05	0.0	16.0
32838	1.7239626686205156e-05	0.0	12.0
73741	1.7244134141947143e-05	0.0	18.0
284868	1.7721456970321015e-05	0.0	23.0
57152	1.7880231098388322e-05	0.0	8.0
207120	1.8068612916977145e-05	0.0	14.0
317414	1.9567118215491064e-05	0.0	17.0
320195	1.985376547963824e-05	0.0	9.0
500345	2.0974974177079275e-05	0.0	11.0
480159	2.1800606191391125e-05	0.0	22.0
120834	2.3198272174340673e-05	0.0	16.0
186913	2.3378695914288983e-05	0.0	14.0
73742	2.3864764443715103e-05	0.0	8.0
317413	2.4122502509271726e-05	0.0	10.0
35677	2.470428626111243e-05	0.0	20.0
486326	2.8536114768940024e-05	1.0	22.0
369723	2.860089807654731e-05	0.0	13.0
